公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1050729,公開標售臺北市士林區福林路100巷70號3樓之2、3樓之2、4樓等3戶市有房地,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,士林區福林路70號3樓之2,37058800,─,再標售
1050729,公開標售臺北市士林區福林路100巷70號3樓之2、3樓之2、4樓等3戶市有房地,士林區福林段二小段594地號,83.47,士林區福林段二小段20355建號（含共同使用部分及停車位編號30）,216.42,士林區福林路70號4樓,37282200,38002800,已標脫
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,28.38,中山區吉林段四小段5514建號(含共同使用部分及停車位編號8、29、30),316.84,中山區新生北路二段47號3樓,59081200,─,再標售
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,25.57,中山區吉林段四小段5481建號(含共同使用部分及停車位編號5、6、7),302.34,中山區新生北路二段49號3樓,58088400,─,再標售
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,27.36,中山區吉林段四小段5464建號(含共同使用部分及停車位編號3、4),294.89,中山區新生北路二段53之3號3樓,58353700,─,再標售
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：144),2774000,3513500,已標脫
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：145),2774000,─,再標售
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：146),2774000,3513500,已標脫
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：147),2774000,─,再標售
1060718,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及6個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：148),2774000,─,再標售
